B3501	27	70	62	35	0
B3502	29	40	74	37	0
B3503	12	29	50	66	0
B3504	11	36	46	35	0
B3505	20	62	87	87	1
B3506	21	40	51	41	0
B3507	22	29	86	65	0
B3508	32	70	73	77	1
B3509	31	60	55	84	0
B3510	29	95	85	62	0
B3511	33	90	72	89	1
B3512	14	58	55	48	0
B3513	37	80	66	51	0
B3514	33	51	41	90	1
B3515	30	58	71	88	1
B3516	13	29	71	64	1
B3517	26	98	76	88	1
B3518	31	90	80	83	0
B3519	27	95	58	71	1
B3520	12	45	89	36	1
B3521	25	90	55	85	1
B3522	26	67	89	59	0
B3523	22	85	51	76	0
B3524	14	33	40	47	0
B3525	36	80	52	58	1
B3526	21	67	84	62	0
B3527	19	32	54	51	0
B3528	31	61	45	62	1
B3529	34	98	57	89	1
B3530	13	60	69	59	0
B3531	16	63	69	61	0
B3532	27	34	84	48	0
B3533	24	82	86	68	0
B3534	36	90	68	66	1
B3535	10	59	90	64	0
B3536	27	89	51	62	1
B3537	24	58	71	57	0
B3538	24	33	58	30	1
B3539	21	64	59	47	0
B3540	26	75	86	86	0
B3541	21	57	47	55	1
B3542	30	93	58	71	0
B3543	21	33	61	63	0
B3544	28	91	45	72	0
B3545	30	51	63	82	0
B3546	19	62	55	41	0
B3547	14	25	44	58	1
B3548	20	92	40	88	1
B3549	12	22	90	50	0
B3550	19	46	47	44	1
B3551	28	55	79	59	0
B3552	23	67	60	54	0
B3553	27	43	81	45	0
B3554	12	60	62	58	0
B3555	28	54	63	79	1
B3556	30	55	41	55	1
B3557	25	68	74	65	1
B3558	30	28	54	35	1
B3559	30	96	53	59	1
B3560	26	54	80	47	0
B3561	20	65	87	48	0
B3562	26	82	75	72	1
B3563	10	29	55	35	0
B3564	27	39	76	70	0
B3565	28	37	46	43	0
B3566	40	74	75	74	1
B3567	24	89	79	56	1
B3568	17	25	86	31	1
B3569	33	72	82	86	1
B3570	19	66	44	67	0
B3571	10	49	57	51	0
B3572	29	53	89	60	1
B3573	40	74	68	71	1
B3574	21	39	43	35	0
B3575	21	70	73	30	1
B3576	20	54	63	32	0
B3577	23	35	59	43	1
B3578	23	53	70	36	0
B3579	21	78	76	73	0
B3580	26	94	86	71	1
B3581	22	89	42	90	1
B3582	24	75	75	52	0
B3583	40	70	49	54	1
B3584	40	55	66	60	1
B3585	10	38	65	33	0
B3586	19	21	76	47	0
B3587	27	40	53	46	0
B3588	23	81	87	68	1
B3589	39	62	81	70	1
B3590	30	51	81	65	1
B3591	28	28	65	41	0
B3592	28	56	63	64	1
B3593	10	48	43	69	0
B3594	21	43	56	65	1
B3595	27	65	78	70	1
B3596	18	45	61	53	1
B3597	15	38	74	53	0
B3598	39	81	75	86	1
B3599	23	44	85	32	1
B3600	30	65	47	73	1
B3601	30	62	49	64	0
B3602	22	52	57	90	1
B3603	21	86	74	71	1
B3604	21	92	59	84	1
B3605	40	58	80	77	0
B3606	10	50	66	53	0
B3607	20	65	87	60	1
B3608	25	92	80	86	0
B3609	16	51	57	32	0
B3610	29	50	70	69	0
B3611	28	27	75	33	0
B3612	26	44	80	32	0
B3613	19	21	57	70	1
B3614	18	36	42	32	0
B3615	30	55	58	30	0
B3616	22	49	74	50	0
B3617	30	88	74	57	0
B3618	20	47	44	59	0
B3619	14	37	86	67	0
B3620	27	43	74	69	0
B3621	20	53	48	46	0
B3622	21	50	49	30	0
B3623	23	60	69	59	1
B3624	37	97	47	61	1
B3625	17	55	87	46	0
B3626	36	96	89	83	0
B3627	26	71	43	68	0
B3628	32	83	79	89	1
B3629	23	86	82	76	1
B3630	27	50	72	65	1
B3631	25	54	78	71	1
B3632	34	51	71	69	0
B3633	17	51	85	64	1
B3634	22	53	74	47	1
B3635	21	55	44	56	1
B3636	34	90	49	76	1
B3637	38	53	52	68	0
B3638	27	31	77	67	0
B3639	38	66	42	55	1
B3640	40	99	41	52	1
B3641	22	26	75	33	1
B3642	26	90	89	65	1
B3643	23	61	50	70	1
B3644	38	65	83	65	1
B3645	17	68	75	61	0
B3646	30	49	50	51	0
B3647	26	97	66	84	1
B3648	20	53	61	39	1
B3649	31	90	49	58	1
B3650	11	55	43	47	0
B3651	27	39	46	68	0
B3652	25	58	68	51	1
B3653	13	34	87	31	0
B3654	36	72	62	72	1
B3655	39	60	42	70	0
B3656	24	44	60	64	0
B3657	25	61	75	51	0
B3658	22	66	51	41	0
B3659	13	67	70	68	0
B3660	35	59	50	71	1
B3661	14	30	58	39	0
B3662	28	48	45	47	1
B3663	12	27	53	67	0
B3664	32	73	45	63	1
B3665	30	38	73	31	0
B3666	21	30	65	63	1
B3667	33	85	69	68	0
B3668	34	89	79	60	1
B3669	15	51	69	36	0
B3670	18	60	56	40	0
B3671	19	43	64	69	0
B3672	20	79	69	68	1
B3673	38	94	60	64	1
B3674	40	68	66	90	0
B3675	35	100	72	86	1
B3676	30	68	72	31	1
B3677	10	23	79	45	0
B3678	33	54	79	73	0
B3679	10	20	82	55	1
B3680	21	53	65	76	0
B3681	23	85	89	53	1
B3682	39	71	41	89	1
B3683	39	96	41	70	1
B3684	34	67	79	61	1
B3685	18	55	41	59	0
B3686	33	87	63	80	1
B3687	24	35	72	33	0
B3688	26	72	66	60	1
B3689	23	59	45	72	1
B3690	23	66	82	63	0
B3691	37	85	78	51	1
B3692	26	84	85	52	1
B3693	27	68	86	49	1
B3694	20	66	64	87	1
B3695	26	47	46	47	0
B3696	14	69	77	33	1
B3697	37	97	50	65	0
B3698	13	24	46	64	1
B3699	33	65	89	84	1
B3700	20	53	84	53	1
B3701	16	70	79	40	0
B3702	10	37	56	38	0
B3703	21	87	65	69	1
B3704	25	31	63	66	0
B3705	20	53	61	64	1
B3706	22	65	58	66	0
B3707	28	62	80	43	1
B3708	25	21	67	48	0
B3709	18	70	88	67	0
B3710	38	91	75	73	0
B3711	34	80	45	70	1
B3712	22	57	73	34	0
B3713	11	41	71	34	0
B3714	27	43	40	45	0
B3715	27	88	52	57	1
B3716	24	29	79	55	0
B3717	29	54	77	70	0
B3718	16	51	47	62	0
B3719	12	23	65	55	0
B3720	22	41	52	70	0
B3721	37	65	42	53	0
B3722	31	100	41	66	1
B3723	31	71	79	61	1
B3724	13	42	58	60	0
B3725	25	63	61	56	0
B3726	18	44	67	35	1
B3727	15	28	72	68	0
B3728	37	51	45	79	1
B3729	20	83	62	74	0
B3730	23	37	56	70	0
B3731	22	74	48	79	1
B3732	21	64	87	42	0
B3733	10	68	57	34	0
B3734	21	52	48	59	0
B3735	37	88	45	53	0
B3736	36	97	63	75	1
B3737	35	89	66	65	1
B3738	36	89	63	61	1
B3739	38	64	43	67	1
B3740	20	87	52	77	1
B3741	40	70	50	89	0
B3742	24	21	60	35	1
B3743	36	55	75	66	1
B3744	23	76	71	84	1
B3745	31	56	69	53	1
B3746	36	50	41	82	0
B3747	30	51	52	40	0
B3748	16	65	47	36	0
B3749	13	27	74	52	0
B3750	20	58	69	84	1
B3751	10	58	74	55	0
B3752	28	39	84	45	1
B3753	16	24	88	59	0
B3754	24	58	78	63	0
B3755	39	52	87	68	1
B3756	18	46	64	34	0
B3757	29	23	54	37	1
B3758	36	74	50	55	1
B3759	14	37	83	68	1
B3760	28	25	86	60	0
B3761	25	23	43	31	0
B3762	28	97	44	67	1
B3763	13	34	78	63	0
B3764	10	21	74	35	0
B3765	36	90	63	89	1
B3766	39	95	83	80	1
B3767	24	54	65	85	0
B3768	28	43	55	31	1
B3769	24	67	62	61	0
B3770	23	68	60	90	1
B3771	24	46	75	49	0
B3772	37	54	67	54	1
B3773	39	54	81	60	0
B3774	25	38	81	54	0
B3775	36	94	80	74	1
B3776	15	39	63	38	0
B3777	20	64	89	57	0
B3778	30	56	88	74	0
B3779	21	34	66	65	0
B3780	26	26	72	64	1
B3781	37	60	74	77	1
B3782	26	66	72	35	0
B3783	12	28	64	59	0
B3784	30	55	70	86	1
B3785	30	22	87	70	0
B3786	22	62	69	30	1
B3787	30	22	66	50	0
B3788	14	29	74	51	0
B3789	36	80	40	82	0
B3790	28	68	80	53	1
B3791	38	83	43	68	1
B3792	40	85	69	78	1
B3793	25	39	46	35	0
B3794	25	60	46	58	0
B3795	21	55	80	56	0
B3796	39	90	64	58	1
B3797	25	84	74	78	1
B3798	38	57	90	57	1
B3799	27	23	75	61	0
B3800	39	53	40	88	1
B3801	26	37	84	59	0
B3802	28	20	73	52	0
B3803	29	87	50	64	1
B3804	40	66	47	52	0
B3805	34	84	58	53	1
